,start,end,duration,round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
16,09/21/20-170913,09/21/20-170938,25.076502323150635,100,0.061001549089948336,0.8317333459854126,0.374412477016449,0.059581267312169076,0.8367999792098999,0.3993915319442749,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,50,0.0,100,uniform,65,25,29,logcosh,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
17,09/21/20-170939,09/21/20-171010,30.807703495025635,136,0.3022116196155548,0.8770666718482971,0.6317409873008728,0.3559761744737625,0.8471999764442444,0.563381552696228,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,50,0.32,136,uniform,83,25,26,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
18,09/21/20-171010,09/21/20-171033,23.116973161697388,106,0.04151989553992947,0.888533353805542,0.6714092493057251,0.050656350005418065,0.8496000170707703,0.5644478797912598,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,55,0.32,106,uniform,92,50,20,logcosh,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
19,09/21/20-171033,09/21/20-171112,39.07536196708679,142,0.02925147776119411,0.9272000193595886,0.794189453125,0.06338001504540443,0.8288000226020813,0.5290530920028687,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,40,0.16,142,normal,56,25,35,logcosh,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
20,09/21/20-171113,09/21/20-171155,41.75328826904297,124,0.043237776417285205,0.876800000667572,0.6033591628074646,0.04942235078662634,0.8560000061988831,0.5464707016944885,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,30,0.4,124,uniform,83,20,35,logcosh,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
21,09/21/20-171155,09/21/20-171219,24.470151662826538,142,0.04351046041895946,0.8744000196456909,0.6096177101135254,0.04928088932111859,0.853600025177002,0.5627380609512329,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,55,0.08,142,uniform,20,20,32,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
22,09/21/20-171220,09/21/20-171247,27.33846402168274,118,0.2740939110914866,0.8965333104133606,0.680854856967926,0.37497875905036926,0.8568000197410583,0.562146008014679,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,40,0.32,118,normal,56,20,26,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
23,09/21/20-171247,09/21/20-171308,20.356215238571167,130,0.02488665321562439,0.9365333318710327,0.8273069858551025,0.06635983973741531,0.8295999765396118,0.5440197587013245,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,60,0.4,130,normal,74,25,26,logcosh,5.0,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
24,09/21/20-171308,09/21/20-171342,34.2607216835022,106,0.33110241293907167,0.8632000088691711,0.5637906789779663,0.345562616109848,0.8511999845504761,0.5283456444740295,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,30,0.32,106,uniform,74,40,29,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
25,09/21/20-171342,09/21/20-171407,25.247942686080933,130,0.04482402123262485,0.8722666501998901,0.5955532789230347,0.04854701370000839,0.8583999872207642,0.5845029950141907,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,55,0.4,130,uniform,56,45,29,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
26,09/21/20-171408,09/21/20-171442,34.51174521446228,142,0.023939441238840422,0.9389333128929138,0.8347994089126587,0.06920691039413214,0.8240000009536743,0.49226608872413635,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,55,0.24,142,normal,92,40,35,logcosh,5.0,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
27,09/21/20-171442,09/21/20-171512,29.841519355773926,118,0.19689033035437267,0.9018666744232178,0.7310856580734253,0.7246774864196778,0.843999981880188,0.5199805498123169,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,40,0.4,118,normal,65,50,23,binary_crossentropy,5.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
28,09/21/20-171512,09/21/20-171558,45.56304597854614,142,0.03203782714096209,0.9151999950408936,0.7290764451026917,0.06150762865319848,0.8335999846458435,0.5518927574157715,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,35,0.08,142,uniform,47,20,26,logcosh,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
29,09/21/20-171558,09/21/20-171617,18.973501443862915,112,0.3201035304466883,0.8674666881561279,0.5908259749412537,0.3439008758664131,0.8592000007629395,0.5826612114906311,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,65,0.0,112,normal,56,30,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
30,09/21/20-171617,09/21/20-171651,33.09800577163696,136,0.04369323456659913,0.8751999735832214,0.6204659342765808,0.048266980707645415,0.8568000197410583,0.5572580099105835,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,45,0.08,136,normal,47,45,35,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
31,09/21/20-171651,09/21/20-171733,41.744221210479736,142,0.05613767391443253,0.8392000198364258,0.4090781509876251,0.05677572852373123,0.8424000144004822,0.4535715579986572,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,40,0.0,142,uniform,92,55,20,logcosh,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
32,09/21/20-171733,09/21/20-171808,35.115389823913574,142,0.022268737748265266,0.9431999921798706,0.8407701849937439,0.06800063598155975,0.8327999711036682,0.5506280064582825,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,60,0.32,142,normal,74,55,29,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
33,09/21/20-171809,09/21/20-171836,27.003504037857056,100,0.0421359346061945,0.8831999897956848,0.6438837647438049,0.04949070632457733,0.8528000116348267,0.5549662113189697,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,50,0.08,100,normal,47,20,20,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
34,09/21/20-171836,09/21/20-171929,53.24177527427673,148,0.2624965531279643,0.8978666663169861,0.7004532814025879,0.3757787752151489,0.8407999873161316,0.5262863039970398,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,35,0.24,148,normal,56,40,35,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
35,09/21/20-171929,09/21/20-172001,31.549273014068604,136,0.03698028605182965,0.9039999842643738,0.7170552015304565,0.059537913262844085,0.8367999792098999,0.5485701560974121,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,40,0.32,136,uniform,38,25,29,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
36,09/21/20-172001,09/21/20-172019,18.14026975631714,100,0.038869469614078604,0.9010666608810425,0.6970546245574951,0.05601047587767243,0.843999981880188,0.5206505060195923,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,55,0.4,100,uniform,29,55,23,logcosh,1.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
