round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
112,0.3764925807714462,0.8613333,0.5191943,0.4283727705478668,0.812,0.43190798,relu,sigmoid,75,0.48,112,normal,50,27,35,19,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
136,0.3093476790189743,0.88133335,0.6347499,0.36699930906295775,0.8472,0.592418,relu,sigmoid,50,0.12,136,normal,50,27,32,10,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.3324046286344528,0.8624,0.5157516,0.3725303177833557,0.8368,0.5010218,relu,sigmoid,55,0.6,118,normal,58,24,35,13,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.30557599210739134,0.8810667,0.6323962,0.3646361746788025,0.8472,0.5832576,relu,sigmoid,60,0.36,106,normal,58,36,26,16,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.2880866721769174,0.8808,0.61528915,0.38760181903839114,0.8432,0.5277052,relu,sigmoid,35,0.0,124,normal,46,27,35,13,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
148,0.299686638712883,0.88346666,0.6365228,0.37463100576400754,0.8408,0.58942044,relu,sigmoid,60,0.24,148,normal,50,36,26,10,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
136,0.3439137675960859,0.8712,0.5642555,0.42688941603899,0.8272,0.47828847,relu,sigmoid,55,0.36,136,normal,34,27,26,19,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
130,0.3025938334663709,0.888,0.6558419,0.3860234751701355,0.8408,0.5467912,relu,sigmoid,65,0.24,130,normal,58,33,32,10,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.3096267250378927,0.88853335,0.65326625,0.370360414981842,0.8424,0.594085,relu,sigmoid,35,0.48,118,normal,58,21,38,13,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.2714105749130249,0.9016,0.6925679,0.40420225930213927,0.832,0.5423015,relu,sigmoid,30,0.24,118,normal,54,21,20,16,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
148,0.37467102587223056,0.8549333,0.47744215,0.4329787037372589,0.8104,0.41014585,relu,sigmoid,60,0.0,148,normal,42,15,29,10,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
142,0.2958875170350075,0.8933333,0.6650695,0.37606804132461547,0.8448,0.5780257,relu,sigmoid,75,0.24,142,normal,50,24,35,13,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.29689553928375245,0.8821333,0.6204802,0.3688335694074631,0.844,0.5588937,relu,sigmoid,30,0.12,130,normal,54,21,32,10,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.3914557072520256,0.85573334,0.49667922,0.4173950481414795,0.8224,0.48004207,relu,sigmoid,75,0.36,118,normal,50,24,32,10,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
130,0.32511484265327456,0.876,0.6088872,0.3695827606320381,0.8472,0.57686627,relu,sigmoid,75,0.48,130,normal,38,36,20,16,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.2802806828767061,0.88746667,0.6482136,0.4075045772790909,0.8408,0.5529508,relu,sigmoid,35,0.12,118,normal,46,36,26,13,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.32172890710830687,0.8728,0.56517404,0.3745824637413025,0.8416,0.533727,relu,sigmoid,30,0.0,100,normal,34,36,23,19,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
