round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
105,0.2593401861290137,0.89253336,0.68378526,0.39206263837218286,0.8504,0.523582,relu,sigmoid,35,0.0,105,normal,95,43,28,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.2908033009370168,0.87866664,0.64568776,0.3725320076942444,0.8448,0.5413951,relu,sigmoid,50,0.06,105,normal,100,34,37,binary_crossentropy,0.19,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3084419197042783,0.8752,0.6285002,0.37038846826553345,0.8496,0.5464259,relu,sigmoid,55,0.18,100,normal,65,37,25,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3039879475037257,0.8752,0.6256463,0.36689606845378875,0.8448,0.5410905,relu,sigmoid,50,0.06,110,normal,65,37,37,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.2654456027348836,0.89493334,0.69708467,0.37921902537345886,0.8512,0.55184877,relu,sigmoid,50,0.24,110,normal,100,43,34,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.33914394116401675,0.86293334,0.5604598,0.40010802435874937,0.84,0.5064171,relu,sigmoid,60,0.12,100,normal,55,40,40,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.31474398493766786,0.8717333,0.61537343,0.3652819662094116,0.8504,0.55454403,relu,sigmoid,80,0.18,100,normal,50,31,31,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.2639188689788183,0.89173335,0.6972013,0.3779276846051216,0.8464,0.5456943,relu,sigmoid,55,0.0,105,normal,100,46,31,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.29882371693849563,0.8784,0.6459921,0.37247218787670133,0.8472,0.53354985,relu,sigmoid,75,0.12,110,normal,100,34,37,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.26676684367656706,0.88773334,0.66881,0.37702636122703553,0.8528,0.5643895,relu,sigmoid,45,0.0,100,normal,115,49,40,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.30583276253938674,0.876,0.63089967,0.37150531470775605,0.8488,0.5378139,relu,sigmoid,70,0.24,105,normal,60,46,28,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.2800509297847748,0.89066666,0.68280923,0.3683737137913704,0.852,0.54540133,relu,sigmoid,75,0.18,110,normal,80,49,40,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.2968991189002991,0.8768,0.6416607,0.36827319955825805,0.8528,0.5513536,relu,sigmoid,80,0.06,100,normal,115,49,31,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.30422870111465455,0.8797333,0.64701915,0.3730252959728241,0.8464,0.5414999,relu,sigmoid,60,0.18,105,normal,100,31,31,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.2702297417322795,0.8901333,0.6803215,0.3787116998434067,0.848,0.55204237,relu,sigmoid,50,0.0,110,normal,70,37,37,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.2598159683942795,0.90106666,0.7149127,0.3872550222873688,0.852,0.57654536,relu,sigmoid,60,0.24,100,normal,95,43,40,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.29991718351840974,0.876,0.6318126,0.37322783827781675,0.8496,0.5410126,relu,sigmoid,75,0.12,105,normal,90,43,31,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.29226400780677797,0.88053334,0.6466662,0.3802466974258423,0.8528,0.5546855,relu,sigmoid,60,0.0,110,normal,80,25,25,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.2962851357460022,0.8824,0.64726734,0.3739826499223709,0.8512,0.5581221,relu,sigmoid,45,0.3,100,normal,65,34,34,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.2899742862582207,0.8789333,0.6435256,0.3644853389263153,0.8536,0.5711242,relu,sigmoid,75,0.0,110,normal,100,49,40,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.30332218199968336,0.87546664,0.6465162,0.37220125198364257,0.848,0.54920506,relu,sigmoid,75,0.24,105,normal,65,46,31,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.2974481001496315,0.8792,0.6433907,0.36282406717538834,0.8464,0.5354748,relu,sigmoid,75,0.18,105,normal,50,25,40,binary_crossentropy,0.19,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.2759428077538808,0.8869333,0.66886276,0.37163672828674316,0.8432,0.556891,relu,sigmoid,70,0.12,105,normal,90,43,37,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.2890552127758662,0.8808,0.64950454,0.3775094586014748,0.8472,0.54501307,relu,sigmoid,65,0.18,110,normal,115,46,31,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.30000847911834716,0.88,0.6324825,0.3747796403169632,0.8464,0.5471477,relu,sigmoid,65,0.18,110,normal,50,34,34,binary_crossentropy,0.19,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.2663542179663976,0.8946667,0.6920849,0.38741571581363676,0.8416,0.5488528,relu,sigmoid,70,0.18,110,normal,110,31,40,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.27459371358156204,0.88853335,0.6772918,0.37007066428661345,0.848,0.5544125,relu,sigmoid,75,0.12,105,normal,85,49,40,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3078112381895383,0.86986667,0.60770917,0.3690027507543564,0.8472,0.5378341,relu,sigmoid,65,0.12,110,normal,55,34,28,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.2656909707089265,0.90026665,0.6975745,0.3958297783732414,0.8448,0.5337315,relu,sigmoid,35,0.24,110,normal,110,46,31,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.2996093284289042,0.87733334,0.63216645,0.37443449592590333,0.8464,0.5290299,relu,sigmoid,70,0.3,100,normal,65,37,25,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.28325260704755784,0.88586664,0.679746,0.3746992003917694,0.8504,0.5465014,relu,sigmoid,60,0.18,100,normal,110,34,40,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.2988595975637436,0.8808,0.65089035,0.368355090379715,0.8464,0.54896104,relu,sigmoid,60,0.12,100,normal,60,43,34,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.30274232260386147,0.872,0.6193174,0.36390282344818115,0.8536,0.5464572,relu,sigmoid,40,0.3,100,normal,70,28,34,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.28937327055136364,0.8829333,0.6527505,0.3742223749160767,0.8488,0.52891433,relu,sigmoid,65,0.06,105,normal,80,40,43,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.29134729933738707,0.8818667,0.65488434,0.37014150810241697,0.8552,0.57016915,relu,sigmoid,70,0.3,100,normal,95,40,31,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.301313182413578,0.87546664,0.6377279,0.37123325461149215,0.8472,0.531923,relu,sigmoid,65,0.24,100,normal,70,40,25,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.29992096334695817,0.8744,0.632509,0.36929256588220594,0.8512,0.54471534,relu,sigmoid,75,0.06,105,normal,110,34,37,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
