round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
105,0.3915445773601532,0.8432,0.44199172,0.42721320247650146,0.8288,0.39859232,relu,sigmoid,60,0.12,105,normal,65,26,20,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.32398255304495494,0.86826664,0.6135903,0.3525736238956451,0.8504,0.56639296,relu,sigmoid,85,0.24,100,normal,61,26,26,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3244240560332934,0.86773336,0.5966509,0.3571214193701744,0.8528,0.56515867,relu,sigmoid,85,0.24,100,normal,49,32,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3176169597307841,0.87226665,0.61526895,0.35106035113334655,0.8488,0.5762427,relu,sigmoid,80,0.06,100,normal,45,38,29,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3022719159126282,0.87946665,0.6359214,0.3540072178840637,0.8512,0.5887854,relu,sigmoid,70,0.18,105,normal,97,32,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3072564172744751,0.8765333,0.6211257,0.3498388749361038,0.8576,0.594617,relu,sigmoid,75,0.3,110,normal,77,32,26,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.30176245760917664,0.88266665,0.6401645,0.35500329303741457,0.848,0.56867814,relu,sigmoid,60,0.3,100,normal,77,32,20,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.30276902943849565,0.8789333,0.6340017,0.34932749927043916,0.8536,0.5901203,relu,sigmoid,75,0.06,105,normal,61,32,26,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.29856909547249477,0.87493336,0.6232299,0.349385337293148,0.8616,0.5837072,relu,sigmoid,55,0.06,100,normal,69,23,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.2981403289635976,0.8778667,0.62275136,0.35012545680999757,0.852,0.5806251,relu,sigmoid,80,0.0,105,normal,69,38,32,binary_crossentropy,0.19,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3077780296802521,0.8728,0.6179273,0.3459356520175934,0.852,0.5805634,relu,sigmoid,60,0.24,105,normal,69,26,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3144324248433113,0.87493336,0.6190684,0.34764121925830843,0.852,0.6003756,relu,sigmoid,85,0.3,110,normal,57,29,32,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.31804033877452215,0.8717333,0.5800799,0.3491077333688736,0.852,0.5751262,relu,sigmoid,55,0.12,105,normal,85,23,29,binary_crossentropy,0.19,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.2983087340593338,0.8789333,0.62201506,0.35503590059280393,0.8496,0.5637838,relu,sigmoid,70,0.12,105,normal,77,29,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.29669554841518403,0.8808,0.64023954,0.35303381019830704,0.8576,0.58267814,relu,sigmoid,55,0.06,105,normal,85,38,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.2843636639515559,0.8850667,0.63947225,0.3536814955472946,0.8464,0.5603394,relu,sigmoid,35,0.06,100,normal,89,32,32,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.32121071457862854,0.8714667,0.60708266,0.35633292269706723,0.8512,0.5752719,relu,sigmoid,80,0.18,105,normal,45,38,32,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.3478595412969589,0.868,0.5702718,0.37582787954807284,0.8456,0.51614386,relu,sigmoid,45,0.3,105,normal,73,29,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3464878481030464,0.8634667,0.56323516,0.38401769936084745,0.8416,0.50953084,relu,sigmoid,85,0.06,110,normal,49,32,23,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3485420184334119,0.8645333,0.55963534,0.37676862317323684,0.8432,0.5264806,relu,sigmoid,55,0.24,110,normal,45,32,20,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.3068919823567073,0.8765333,0.621389,0.34394039571285245,0.8528,0.5868077,relu,sigmoid,50,0.18,105,normal,49,20,20,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3195592419902484,0.8714667,0.6134302,0.34888248485326767,0.852,0.57622516,relu,sigmoid,65,0.3,110,normal,85,29,23,binary_crossentropy,0.19,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.31999505307277043,0.8738667,0.61106163,0.34379849487543107,0.8568,0.5953781,relu,sigmoid,85,0.3,100,normal,77,32,23,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.37437624065081276,0.848,0.48709846,0.41188149285316467,0.8336,0.43206576,relu,sigmoid,40,0.12,100,normal,57,20,20,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.2895519359111786,0.8776,0.632472,0.35400453305244445,0.856,0.5826262,relu,sigmoid,80,0.0,110,normal,81,35,32,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3184117559591929,0.8752,0.59715885,0.3523074954748154,0.8512,0.5786073,relu,sigmoid,50,0.3,105,normal,53,26,20,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.2973973190784454,0.87813336,0.6229083,0.34587896525859835,0.8568,0.6017874,relu,sigmoid,50,0.06,100,normal,65,35,26,binary_crossentropy,0.19,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.38688521019617717,0.84426665,0.47744322,0.41556381416320803,0.8376,0.48097968,relu,sigmoid,80,0.3,100,normal,65,23,26,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.29458670258522035,0.8808,0.63702667,0.3526680326461792,0.852,0.5569682,relu,sigmoid,60,0.18,105,normal,61,26,32,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.2946355057954788,0.87866664,0.63395137,0.35185401123762133,0.8512,0.5721492,relu,sigmoid,45,0.24,110,normal,89,20,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
