round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
110,0.44552105402946474,0.8399999737739563,0.5406685471534729,0.2258123952150345,0.9128,0.7483251,relu,sigmoid,60,0.1,110,normal,68,50,28,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
110,0.4664128565788269,0.8343999981880188,0.5063741207122803,0.2153295255700747,0.9109333,0.7559624,relu,sigmoid,50,0.3,110,normal,64,40,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.37934039956331256,0.8432000279426575,0.5574246644973755,0.25784028631448747,0.8984,0.71522576,relu,sigmoid,45,0.1,120,normal,68,30,40,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
125,0.5964598374366761,0.8144000172615051,0.5188471674919128,0.16374266962210338,0.9298667,0.8116429,relu,sigmoid,40,0.25,125,normal,64,40,28,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
115,0.48002120542526244,0.8320000171661377,0.5449635982513428,0.2119136234521866,0.9128,0.7614217,relu,sigmoid,40,0.25,115,normal,76,55,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
110,0.4463138999938965,0.8360000252723694,0.5424524545669556,0.23023460954427719,0.9096,0.7598305,relu,sigmoid,60,0.1,110,normal,60,35,32,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
130,0.45886537742614747,0.8263999819755554,0.5406308770179749,0.2196269029378891,0.9112,0.7526286,relu,sigmoid,60,0.15,130,normal,64,30,24,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
125,0.4500872540473938,0.828000009059906,0.5249038338661194,0.23554783833026885,0.9090667,0.7397956,relu,sigmoid,40,0.2,125,normal,60,20,36,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
125,0.4650405406355858,0.8343999981880188,0.5069977045059204,0.21483168107271194,0.9176,0.7766841,relu,sigmoid,45,0.2,125,normal,60,55,24,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.410891152381897,0.8456000089645386,0.5440898537635803,0.24130134431521097,0.9058667,0.7337985,relu,sigmoid,40,0.15,100,normal,76,30,24,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
120,0.372025431394577,0.8479999899864197,0.5475925207138062,0.28279738664627074,0.8896,0.69038546,relu,sigmoid,50,0.3,120,normal,68,10,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
120,0.6862180852890014,0.8335999846458435,0.536084771156311,0.14337305561701458,0.9368,0.8339395,relu,sigmoid,40,0.15,120,normal,68,60,36,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.37802425265312195,0.8583999872207642,0.5168834924697876,0.2610918241739273,0.90426666,0.73502606,relu,sigmoid,50,0.1,105,normal,72,10,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
110,0.3736311823129654,0.8432000279426575,0.5828194618225098,0.26231395999590557,0.89573336,0.7041768,relu,sigmoid,50,0.2,110,normal,64,40,32,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
120,0.3447845816612244,0.8592000007629395,0.5939462184906006,0.288130676984787,0.88373333,0.6680812,relu,sigmoid,60,0.2,120,normal,60,15,40,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
125,0.7664218262434006,0.8456000089645386,0.5364669561386108,0.15225722800195218,0.9285333,0.8053854,relu,sigmoid,45,0.2,125,normal,64,25,24,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.40448483645915984,0.8352000117301941,0.5295110940933228,0.24028687824805578,0.90826666,0.74457103,relu,sigmoid,50,0.15,130,normal,68,10,32,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.6767299337387085,0.8208000063896179,0.5069987177848816,0.1562516860763232,0.93813336,0.83338696,relu,sigmoid,40,0.3,125,normal,68,15,32,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.36104988658428194,0.8519999980926514,0.5236961841583252,0.27133460801839826,0.8933333,0.6852397,relu,sigmoid,45,0.3,105,normal,76,50,28,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
130,0.39791260302066805,0.848800003528595,0.5453338623046875,0.24747077147165933,0.8994667,0.7203104,relu,sigmoid,50,0.1,130,normal,68,40,24,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
120,0.4469963818788528,0.8479999899864197,0.5280972719192505,0.22493808095157147,0.9136,0.77583504,relu,sigmoid,45,0.2,120,normal,64,25,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
