round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
110,0.4799329687833786,0.8447999954223633,0.5202336311340332,0.23063182640075683,0.9056,0.7365394,relu,sigmoid,48,0.175,110,normal,68,20,24,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.5663170194625855,0.8312000036239624,0.5796880722045898,0.16146901043256123,0.9392,0.8347696,relu,sigmoid,40,0.05,115,normal,64,44,18,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.4394075430393219,0.8416000008583069,0.5519070625305176,0.2378087089220683,0.9090667,0.7426114,relu,sigmoid,44,0.175,100,normal,52,38,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.44566657781600955,0.8519999980926514,0.5795424580574036,0.2335608061949412,0.9104,0.7456068,relu,sigmoid,40,0.2375,100,normal,60,20,18,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.4506832420825958,0.8320000171661377,0.554968535900116,0.22166161007881163,0.912,0.74249,relu,sigmoid,48,0.05,110,normal,60,44,18,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.4547786450386047,0.8416000008583069,0.5734581351280212,0.22314810620148975,0.9170667,0.7592866,relu,sigmoid,44,0.2375,100,normal,68,23,14,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.3952960931301117,0.8496000170707703,0.5369032025337219,0.25306418220996857,0.89573336,0.6947901,relu,sigmoid,52,0.05,100,normal,44,29,24,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.41706553268432617,0.8360000252723694,0.5624459981918335,0.24533781208992003,0.9069333,0.7352182,relu,sigmoid,56,0.3,110,normal,44,38,14,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.525140007686615,0.8416000008583069,0.5490788221359253,0.19903997910022736,0.9256,0.7872887,relu,sigmoid,44,0.1125,125,normal,52,35,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.5341541173934936,0.8399999737739563,0.5355991721153259,0.19183328598737717,0.9234667,0.775569,relu,sigmoid,48,0.175,125,normal,68,44,16,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.4040195753097534,0.8528000116348267,0.5564941167831421,0.25511077677408855,0.896,0.7015848,relu,sigmoid,56,0.05,115,normal,52,32,18,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.4223577615737915,0.8327999711036682,0.5397742986679077,0.2418756476680438,0.9077333,0.71734315,relu,sigmoid,44,0.05,100,normal,64,23,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.5794111400604248,0.8271999955177307,0.5381428003311157,0.19209104532400767,0.92586666,0.7957236,relu,sigmoid,56,0.2375,115,normal,60,38,24,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.4536366328716278,0.848800003528595,0.5393130779266357,0.21946765495936077,0.9144,0.7566265,relu,sigmoid,44,0.175,100,normal,64,35,12,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.4841890687942505,0.8479999899864197,0.5368248224258423,0.22428473512331645,0.91146666,0.73623544,relu,sigmoid,40,0.2375,120,normal,56,26,18,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.44937453536987304,0.8447999954223633,0.5462695956230164,0.223569477891922,0.91466665,0.7654552,relu,sigmoid,56,0.05,105,normal,48,44,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
