round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
100,0.31669233909249306,0.8696,0.62760127,0.33355478072166445,0.8696,0.5367016,relu,sigmoid,45,0.24,100,normal,60,46,37,binary_crossentropy,0.19,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.29196212569872537,0.8818667,0.67216265,0.32296580970287325,0.8624,0.5474813,relu,sigmoid,50,0.18,110,normal,100,43,34,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.30243678390979767,0.8778667,0.65968496,0.3370295211672783,0.8608,0.5761539,relu,sigmoid,75,0.3,100,normal,100,49,37,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.27494815438985826,0.8912,0.70162237,0.3437497943639755,0.86,0.535094,relu,sigmoid,75,0.18,105,normal,95,49,28,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3071664442916711,0.8688,0.60919905,0.3260251275897026,0.8736,0.5551329,relu,sigmoid,35,0.12,100,normal,60,40,37,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.30270435810089114,0.8736,0.6377629,0.3274807870388031,0.8648,0.54647726,relu,sigmoid,50,0.0,100,normal,60,34,40,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3065702710946401,0.8765333,0.65804976,0.32827043533325195,0.86,0.5671499,relu,sigmoid,80,0.3,100,normal,65,25,34,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3006805137793223,0.876,0.6550064,0.34214251798391343,0.856,0.56027955,relu,sigmoid,65,0.18,105,normal,85,43,43,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.2929408602714539,0.87813336,0.65387636,0.3379048342704773,0.8568,0.5541184,relu,sigmoid,40,0.06,100,normal,95,31,34,binary_crossentropy,0.27,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.2903122172753016,0.8810667,0.67471707,0.3315135329961777,0.8728,0.5928519,relu,sigmoid,70,0.3,110,normal,55,34,43,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3164026344617208,0.86826664,0.6243002,0.32575108045339585,0.864,0.51823,relu,sigmoid,65,0.06,110,normal,60,34,43,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3275679340362549,0.8648,0.62852025,0.32798052740097045,0.8736,0.56982255,relu,sigmoid,80,0.3,110,normal,55,31,37,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3091028861204783,0.8738667,0.6422669,0.3295229345560074,0.864,0.5508317,relu,sigmoid,50,0.24,100,normal,60,34,43,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
