round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
124,0.2575536493062973,0.9066667,0.7390352,0.437873544216156,0.8296,0.5244027,relu,sigmoid,60,0.125,124,normal,42,24,20,19,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.30741455662250516,0.88666666,0.6561099,0.3585470325946808,0.8504,0.5657297,relu,sigmoid,45,0.5,124,normal,66,15,32,13,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.3169414528012276,0.8736,0.6124825,0.3528201409578323,0.8536,0.59196955,relu,sigmoid,65,0.5,106,normal,38,36,35,13,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.29828532083829246,0.88053334,0.6403254,0.3612894768714905,0.8496,0.5434358,relu,sigmoid,40,0.0,118,normal,46,15,35,10,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
148,0.27713410729169846,0.892,0.67335665,0.3852705978155136,0.8408,0.5520868,relu,sigmoid,30,0.125,148,normal,74,24,35,10,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
130,0.3227077918052673,0.86693335,0.6136372,0.3559256789684296,0.8536,0.5849535,relu,sigmoid,60,0.125,130,normal,30,27,35,13,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
142,0.2362988226612409,0.9037333,0.7447273,0.45700873017311094,0.8272,0.56235343,relu,sigmoid,65,0.25,142,normal,38,21,35,13,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.2919225529034932,0.8888,0.6590502,0.3576873355507851,0.8472,0.5619471,relu,sigmoid,35,0.125,106,normal,62,18,35,10,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.29172217309474946,0.8842667,0.6581007,0.36640465623140334,0.848,0.5660152,relu,sigmoid,45,0.25,130,normal,54,24,26,19,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.2666530652840932,0.90213335,0.7163118,0.40970373928546905,0.84,0.5663511,relu,sigmoid,50,0.25,130,normal,74,21,29,16,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.3908490549524625,0.8466667,0.49530658,0.40527647876739503,0.8344,0.44849235,relu,sigmoid,55,0.375,118,normal,30,21,23,13,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
136,0.34320581221580504,0.83066666,0.39353302,0.35314342427253725,0.8536,0.5817932,relu,sigmoid,60,0.5,136,normal,70,24,29,10,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.29337859094142915,0.8842667,0.654281,0.3774598693847656,0.8392,0.48851848,relu,sigmoid,50,0.25,118,normal,30,18,23,13,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
142,0.3354494515260061,0.8608,0.5457557,0.3541559900641441,0.8504,0.49471757,relu,sigmoid,55,0.5,142,normal,38,18,35,10,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
