round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
148,0.34682165056467057,0.8600000143051147,0.5858831405639648,0.30293798381090165,0.8746667,0.61755794,elu,sigmoid,45,0.0,148,normal,56,29,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
148,0.8809769129753113,0.8256000280380249,0.5552586317062378,0.07621801632394393,0.9696,0.9220623,relu,sigmoid,65,0.0,148,normal,83,47,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
142,1.425634817123413,0.8032000064849854,0.5147046446800232,0.07769932715098063,0.96026665,0.89622295,relu,sigmoid,40,0.24,142,normal,74,20,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
112,0.3451205602288246,0.8592000007629395,0.5852649807929993,0.31644034401575727,0.86293334,0.53704166,relu,sigmoid,55,0.4,112,normal,47,20,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
124,0.37882088857889173,0.8496000170707703,0.5887758731842041,0.25416597780585287,0.9016,0.70344985,relu,sigmoid,55,0.24,124,normal,83,56,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
148,0.3648554322719574,0.8496000170707703,0.6012960076332092,0.29232052266597747,0.8797333,0.62668604,elu,sigmoid,65,0.24,148,uniform,47,56,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.6825148501396179,0.8191999793052673,0.535934567451477,0.14776905341943106,0.9357333,0.81565833,relu,sigmoid,40,0.32,100,uniform,92,47,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
100,0.3371536295413971,0.8592000007629395,0.5543437004089355,0.3306127893924713,0.86506665,0.5765909,elu,sigmoid,60,0.4,100,normal,65,38,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.39031886899471285,0.8416000008583069,0.5500875115394592,0.2718508033255736,0.89253336,0.6791832,relu,sigmoid,55,0.24,130,normal,56,20,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.3418366510272026,0.8623999953269958,0.6023882031440735,0.3188489664196968,0.864,0.5767044,elu,sigmoid,55,0.08,106,normal,56,29,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
106,0.3446661460995674,0.8592000007629395,0.5932576656341553,0.3087292243440946,0.872,0.57671636,elu,sigmoid,35,0.0,106,normal,74,38,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
130,0.40896501153707504,0.843999981880188,0.5638226270675659,0.23427277942498526,0.90426666,0.714233,relu,sigmoid,35,0.32,130,normal,56,47,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.38206970524787903,0.8528000116348267,0.5600167512893677,0.2686288076043129,0.8864,0.6438921,relu,sigmoid,30,0.08,118,normal,38,56,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
148,0.34443025827407836,0.8551999926567078,0.5855353474617004,0.3181537493467331,0.8688,0.5911463,elu,sigmoid,40,0.32,148,normal,29,56,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
