round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
100,0.313530170917511,0.8725333,0.62023044,0.3340673005580902,0.8592,0.5438548,relu,sigmoid,50,0.4,100,normal,80,15,32,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.31723773658275606,0.8728,0.6248764,0.3420844578742981,0.8608,0.5612091,relu,sigmoid,80,0.16,110,normal,60,24,29,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.31982160498698553,0.87226665,0.6103775,0.33901993811130526,0.8648,0.57431746,relu,sigmoid,50,0.16,110,normal,52,27,20,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3088349591096242,0.8714667,0.61896837,0.3367772781848907,0.8616,0.5709625,relu,sigmoid,80,0.08,110,normal,80,21,26,binary_crossentropy,0.19,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.30914989405870436,0.87413335,0.6129104,0.3524531373977661,0.8568,0.53972465,relu,sigmoid,85,0.08,105,normal,72,24,29,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3854929804007212,0.8432,0.4953583,0.39139282536506653,0.8416,0.42559925,relu,sigmoid,70,0.16,105,normal,52,21,20,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3023768129348755,0.876,0.624934,0.3343188819885254,0.8656,0.5577518,relu,sigmoid,60,0.0,100,normal,84,18,32,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.32553831839561465,0.8653333,0.59591085,0.3351718225479126,0.8664,0.56845397,relu,sigmoid,80,0.24,100,normal,84,24,23,binary_crossentropy,0.18,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3189602270722389,0.87093335,0.60626125,0.3466671446561813,0.8568,0.55528,relu,sigmoid,85,0.16,110,normal,60,27,29,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3102104613184929,0.8768,0.63555884,0.33470815777778623,0.8624,0.5732022,relu,sigmoid,75,0.32,105,normal,60,27,20,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
