round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
120,0.3197674234906832,0.87333333,0.629999,0.3590659361481667,0.8544,0.53841245,relu,sigmoid,55,0.35,120,normal,35,33,32,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.30190228748321535,0.87733334,0.6464415,0.3626751778125763,0.8504,0.555186,relu,sigmoid,60,0.0,115,normal,35,33,32,26,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3057787575721741,0.8744,0.62346864,0.3549760475754738,0.8552,0.5659667,relu,sigmoid,45,0.35,100,normal,55,15,32,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3017911643485228,0.87866664,0.6546397,0.3525036727786064,0.8592,0.5748936,relu,sigmoid,55,0.175,110,normal,63,18,23,20,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3621225428581238,0.8544,0.5290767,0.3821814870834351,0.8464,0.49054742,relu,sigmoid,75,0.0,105,normal,39,15,29,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.3012814375559489,0.8744,0.6145743,0.3453444168865681,0.8584,0.5649848,relu,sigmoid,35,0.0,105,normal,67,15,23,23,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.28775266695022583,0.8842667,0.6551028,0.376702868103981,0.8504,0.5080802,relu,sigmoid,30,0.175,110,normal,51,15,26,23,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.2984939241707325,0.87333333,0.6276622,0.35432901585102083,0.8536,0.5589755,relu,sigmoid,45,0.175,110,normal,55,27,20,32,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
120,0.2938241439859072,0.8778667,0.6397988,0.36549968177080155,0.8504,0.5741375,relu,sigmoid,55,0.0,120,normal,67,24,26,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
120,0.3663469432791074,0.8517333,0.52316904,0.4098444964885712,0.8296,0.44564858,relu,sigmoid,65,0.0,120,normal,35,27,23,32,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
