round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
110,0.3268842635154724,0.86826664,0.60719436,0.3676585705280304,0.8544,0.55604315,relu,sigmoid,60,0.175,110,normal,35,15,23,26,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.3246375250816345,0.8738667,0.62793005,0.3601302171349525,0.8584,0.56513274,relu,sigmoid,65,0.35,115,normal,43,18,32,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.3227854211330414,0.86693335,0.6055906,0.3766619495153427,0.8512,0.57931536,relu,sigmoid,70,0.0,115,normal,43,27,29,20,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.30822651092211406,0.8752,0.6250758,0.36227830743789674,0.852,0.5388464,relu,sigmoid,40,0.175,105,normal,35,24,32,23,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.3359621574083964,0.8621333,0.5614065,0.38852427530288697,0.8408,0.5225959,relu,sigmoid,40,0.0,105,normal,35,21,26,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.2962418422102928,0.876,0.6210557,0.376747290790081,0.8416,0.5303966,relu,sigmoid,30,0.35,100,normal,39,21,23,32,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3129486599564552,0.8746667,0.6351406,0.3649535417556763,0.8512,0.5730173,relu,sigmoid,75,0.175,105,normal,67,27,26,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3022435882091522,0.8725333,0.61633825,0.36984449470043185,0.8512,0.5179894,relu,sigmoid,35,0.0,100,normal,43,18,26,32,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.30048659749825796,0.8789333,0.6521325,0.3602007348537445,0.86,0.5934505,relu,sigmoid,70,0.175,105,normal,71,15,23,23,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3060236614942551,0.8744,0.638025,0.36352908551692964,0.8504,0.5698202,relu,sigmoid,75,0.0,110,normal,39,24,26,29,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
