round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
105,0.318008778989315,0.87093335,0.6153526,0.3709193313121796,0.8528,0.5643945,relu,sigmoid,75,0.0,105,normal,80,18,29,20,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.28140319367249805,0.89786667,0.6923698,0.4154693818092346,0.8408,0.5240603,relu,sigmoid,50,0.35,115,normal,40,24,20,20,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.31220147816340127,0.87413335,0.61883706,0.3740311199426651,0.8432,0.5453833,relu,sigmoid,35,0.0,110,normal,40,18,32,32,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.2825462219119072,0.8850667,0.6656238,0.39519712269306184,0.8456,0.54980826,relu,sigmoid,75,0.175,100,normal,56,21,29,26,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.23874646440148353,0.916,0.7595932,0.4848676667809486,0.8336,0.5118073,relu,sigmoid,55,0.35,100,normal,72,18,26,29,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.24501012044151624,0.90293336,0.7282448,0.431519487708807,0.8392,0.5697626,relu,sigmoid,65,0.0,105,normal,48,15,23,26,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.30114294399817787,0.8757333,0.6255156,0.37279838681221006,0.8512,0.5259219,relu,sigmoid,50,0.0,110,normal,76,24,29,23,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.3496244430541992,0.86,0.5452327,0.39016152381896974,0.8512,0.49781537,relu,sigmoid,75,0.175,105,normal,68,21,23,32,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.35076076606909434,0.8645333,0.5752666,0.38183869898319245,0.8544,0.523979,relu,sigmoid,50,0.175,105,normal,52,24,23,26,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.2840705724557241,0.89093333,0.67224056,0.3806102051734924,0.8392,0.54305845,relu,sigmoid,40,0.35,100,normal,84,15,32,32,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3121897025108337,0.8744,0.63456523,0.3726157364845276,0.8496,0.54815775,relu,sigmoid,80,0.35,100,normal,60,24,26,26,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3137479031085968,0.8752,0.6300919,0.3734481000900269,0.8488,0.5463325,relu,sigmoid,75,0.35,100,normal,40,15,32,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3093021160364151,0.8714667,0.61606,0.3666612811088562,0.8496,0.5375443,relu,sigmoid,60,0.0,100,normal,72,24,32,26,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.38454935312271116,0.84426665,0.4641646,0.41333613657951357,0.8408,0.4532363,relu,sigmoid,85,0.175,110,normal,68,18,26,20,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
