round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
110,0.3007227035363515,0.87333333,0.6161019,0.3589617711305618,0.8568,0.5467177,relu,sigmoid,50,0.0,110,normal,64,18,20,20,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.31402563393115995,0.8712,0.62026995,0.35925352334976196,0.8552,0.558771,relu,sigmoid,75,0.0,100,normal,56,15,26,20,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.3308904938697815,0.86693335,0.60132474,0.36461438989639283,0.852,0.56273526,relu,sigmoid,65,0.35,115,normal,48,15,23,29,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.30918149918317794,0.8744,0.6213843,0.368630530834198,0.86,0.5802283,relu,sigmoid,75,0.0,105,normal,52,15,29,20,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.4031550902525584,0.84026664,0.4465616,0.40944235706329346,0.8296,0.37237075,relu,sigmoid,70,0.35,110,normal,48,24,29,20,binary_crossentropy,0.075,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.39991584459940593,0.84106666,0.43501016,0.4167333734035492,0.8184,0.35569125,relu,sigmoid,70,0.0,105,normal,52,24,29,26,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.3924006339708964,0.83893335,0.42044327,0.40526453137397767,0.8328,0.39913413,relu,sigmoid,70,0.175,105,normal,68,18,29,26,binary_crossentropy,0.075,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.30074240255355833,0.8765333,0.6382259,0.3640272006988525,0.856,0.5797865,relu,sigmoid,65,0.0,110,normal,60,24,32,29,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.4089349529743195,0.83573335,0.3844056,0.41432982540130614,0.8272,0.3486993,relu,sigmoid,60,0.35,100,normal,68,27,32,29,binary_crossentropy,0.05,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.33711001829306286,0.8642667,0.5927405,0.37640588414669035,0.8544,0.53681743,relu,sigmoid,70,0.175,105,normal,60,21,32,29,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3017671730518341,0.87733334,0.6453437,0.3653110036849976,0.856,0.5608016,relu,sigmoid,80,0.175,110,normal,84,15,29,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.31007186953226723,0.87226665,0.62221795,0.3573830357789993,0.8584,0.5538836,relu,sigmoid,70,0.175,110,normal,76,24,32,32,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3774979085524877,0.8509333,0.5034452,0.39860252928733825,0.8296,0.46652952,relu,sigmoid,65,0.0,100,normal,48,24,32,26,binary_crossentropy,0.075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3213762415647507,0.86506665,0.5905439,0.35925906598567964,0.8568,0.5600018,relu,sigmoid,35,0.175,100,normal,40,24,29,32,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.4310854325294495,0.7962667,0.0,0.43222121810913083,0.7968,0.0,relu,sigmoid,80,0.175,115,normal,40,21,23,26,binary_crossentropy,0.025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.3758794288635254,0.8552,0.51943815,0.3967498445510864,0.8384,0.4664554,relu,sigmoid,60,0.35,115,normal,72,24,26,29,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.28785817886392273,0.88586664,0.6579932,0.36720283383131025,0.8528,0.5577474,relu,sigmoid,35,0.35,105,normal,84,24,29,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.4142948443889618,0.8264,0.30453658,0.4194693765640259,0.8192,0.25973445,relu,sigmoid,60,0.175,100,normal,64,24,32,20,binary_crossentropy,0.05,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.2719405659039815,0.888,0.6638502,0.3818510013818741,0.8536,0.5363593,relu,sigmoid,50,0.0,110,normal,80,18,20,26,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.34811781456073126,0.86293334,0.57209426,0.373016804933548,0.8552,0.52100587,relu,sigmoid,35,0.35,105,normal,60,21,20,32,binary_crossentropy,0.075,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.311106946070989,0.87093335,0.6241017,0.37245202958583834,0.8528,0.57272357,relu,sigmoid,55,0.0,105,normal,52,15,23,20,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.37909526427586876,0.85546666,0.52059627,0.38918899893760683,0.84,0.43632853,relu,sigmoid,50,0.175,100,normal,56,24,26,29,binary_crossentropy,0.075,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.2917953623930613,0.8789333,0.65427065,0.36013179016113284,0.852,0.5621015,relu,sigmoid,80,0.0,115,normal,52,21,29,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3108767603635788,0.8744,0.6273921,0.35246129179000857,0.86,0.57817,relu,sigmoid,60,0.35,100,normal,56,21,26,29,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.4051739366054535,0.8418667,0.46498215,0.419183247089386,0.8256,0.38844752,relu,sigmoid,60,0.35,110,normal,48,18,20,23,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.2870342671076457,0.8824,0.654866,0.3761331081390381,0.852,0.5266053,relu,sigmoid,40,0.175,105,normal,84,18,23,32,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
