round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
105,0.4109067003250122,0.8479999899864197,0.49927768111228943,0.2599878002882004,0.8976,0.6770201,relu,sigmoid,44,0.3,105,normal,48,29,16,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.41806150896549227,0.8464000225067139,0.5623733401298523,0.23232901991208393,0.9141333,0.745652,relu,sigmoid,56,0.175,110,normal,56,26,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.3798594410419464,0.8496000170707703,0.5492164492607117,0.2713386107762655,0.89173335,0.6814942,relu,sigmoid,44,0.05,100,normal,40,23,24,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.4709738793373108,0.8343999981880188,0.5092860460281372,0.2172065114180247,0.91653335,0.74403137,relu,sigmoid,40,0.1125,115,normal,64,20,18,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.4287942329645157,0.8464000225067139,0.5398497581481934,0.23575195034344992,0.91013336,0.72565556,relu,sigmoid,40,0.05,115,normal,60,38,10,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.41946564968824385,0.8416000008583069,0.5558604001998901,0.24837229684988657,0.9072,0.7268268,relu,sigmoid,52,0.175,125,normal,60,20,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.4221439883708954,0.843999981880188,0.5754185914993286,0.2510170393625895,0.9,0.73082536,relu,sigmoid,44,0.175,100,normal,60,32,10,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.45332182846069335,0.8496000170707703,0.5559888482093811,0.23795561637878418,0.91866666,0.7618674,relu,sigmoid,48,0.3,115,normal,60,32,12,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.41643856883049013,0.8399999737739563,0.5378933548927307,0.25355214981238045,0.89813334,0.6983346,relu,sigmoid,40,0.1125,115,normal,44,29,18,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.4179809542655945,0.8416000008583069,0.5264456272125244,0.2568578097979228,0.9096,0.73299444,relu,sigmoid,56,0.175,105,normal,40,35,12,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.43906741938591004,0.8335999846458435,0.5245271921157837,0.22097164893150328,0.9224,0.7683094,relu,sigmoid,44,0.1125,105,normal,40,41,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.4052497677326202,0.848800003528595,0.49587273597717285,0.2589692223548889,0.9018667,0.7094958,relu,sigmoid,56,0.1125,115,normal,60,20,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.4870151787281036,0.8384000062942505,0.5191293954849243,0.223682725807031,0.9112,0.7402263,relu,sigmoid,44,0.2375,120,normal,56,41,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.5501400738716126,0.8312000036239624,0.5503655076026917,0.17337296459674836,0.93226665,0.81334984,relu,sigmoid,56,0.175,125,normal,60,38,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.42792385516166687,0.843999981880188,0.5680088400840759,0.23552761130332947,0.90533334,0.7219692,relu,sigmoid,48,0.2375,120,normal,40,35,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.4330061423778534,0.8447999954223633,0.5159342885017395,0.23835266482830048,0.9112,0.74638337,relu,sigmoid,40,0.05,125,normal,44,26,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.3815488708972931,0.8560000061988831,0.5580417513847351,0.27321153895060224,0.8888,0.64578325,relu,sigmoid,56,0.175,115,normal,48,32,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.45605238023996353,0.8503999710083008,0.533585250377655,0.21478386894861856,0.9192,0.7705247,relu,sigmoid,52,0.1125,125,normal,68,32,12,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.43756881856918334,0.848800003528595,0.5144181847572327,0.23618647638956705,0.9098667,0.7274304,relu,sigmoid,40,0.2375,125,normal,60,20,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.41165707261562345,0.8575999736785889,0.5836952328681946,0.2302580196738243,0.90826666,0.73038447,relu,sigmoid,48,0.175,105,normal,64,41,16,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.5163671125173569,0.8432000279426575,0.5433538556098938,0.2187431061108907,0.9192,0.763303,relu,sigmoid,56,0.2375,125,normal,64,29,14,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.5027259739875793,0.8343999981880188,0.4985246956348419,0.20575256617863974,0.92293334,0.78190684,relu,sigmoid,56,0.2375,115,normal,60,38,24,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.5331737818717956,0.8471999764442444,0.5566815137863159,0.18870498955249787,0.9298667,0.78687334,relu,sigmoid,40,0.2375,120,normal,56,35,18,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.3595519010066986,0.8623999953269958,0.5723671317100525,0.29044107544819514,0.89066666,0.6703735,relu,sigmoid,52,0.2375,125,normal,40,20,16,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.4699637892246246,0.853600025177002,0.5191574096679688,0.22524110754330953,0.90346664,0.69606626,relu,sigmoid,40,0.3,100,normal,68,38,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.4412910568714142,0.8256000280380249,0.5124179720878601,0.21933137350082396,0.9181333,0.7570197,relu,sigmoid,48,0.2375,110,normal,48,32,16,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.5391665866062045,0.8312000036239624,0.4932907521724701,0.18704805003404618,0.9296,0.7956773,relu,sigmoid,48,0.05,110,normal,68,35,24,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.5094505951881408,0.843999981880188,0.5212736129760742,0.19717775668303172,0.9248,0.7990632,relu,sigmoid,44,0.175,125,normal,56,32,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.42597830152511595,0.8496000170707703,0.5268250703811646,0.2472305069367091,0.8973333,0.6900905,relu,sigmoid,40,0.05,120,normal,44,23,10,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.3861514086723328,0.8600000143051147,0.554604172706604,0.24331227032343547,0.9056,0.7196693,relu,sigmoid,40,0.175,110,normal,52,29,16,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.46339511466026306,0.8432000279426575,0.48293688893318176,0.2379642098347346,0.90026665,0.69248915,relu,sigmoid,40,0.2375,105,normal,56,44,10,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.3866353086471558,0.853600025177002,0.5221762657165527,0.26430904512405395,0.8968,0.68857765,relu,sigmoid,56,0.2375,100,normal,48,38,12,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.42522525720596316,0.848800003528595,0.5084936022758484,0.23221770838101705,0.9056,0.7246509,relu,sigmoid,44,0.1125,100,normal,64,20,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.4920915956497192,0.8416000008583069,0.48566436767578125,0.2065309679110845,0.92186666,0.7743183,relu,sigmoid,56,0.3,105,normal,64,26,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
