round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
100,0.3165682319700718,0.87226665,0.61526686,0.36300868427753447,0.8456,0.50787,relu,sigmoid,35,0.0,100,normal,52,18,29,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.3964906224012375,0.83973336,0.42825872,0.4087760126590729,0.832,0.33461833,relu,sigmoid,65,0.0,105,normal,52,15,29,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.2951209520300229,0.8776,0.649166,0.3534037293195724,0.8504,0.55300444,relu,sigmoid,55,0.0,110,normal,72,24,26,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.31941011156638466,0.8744,0.6310588,0.36127536195516585,0.848,0.53261,relu,sigmoid,55,0.175,105,normal,44,24,26,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.3701887607574463,0.8504,0.5221563,0.3997038586139679,0.8384,0.48245934,relu,sigmoid,80,0.175,105,normal,76,27,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.34136407989263534,0.86693335,0.5734747,0.3768913657069206,0.8432,0.5002716,relu,sigmoid,45,0.175,105,normal,48,21,32,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3010918416976929,0.87733334,0.63955766,0.361819007396698,0.8464,0.5546441,relu,sigmoid,60,0.0,105,normal,76,24,20,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.38313552403450013,0.8437333,0.4855822,0.3933601830005646,0.8352,0.42715028,relu,sigmoid,80,0.175,105,normal,40,18,23,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.3194666869242986,0.8744,0.6371247,0.3545142281651497,0.8472,0.54152006,relu,sigmoid,85,0.175,115,normal,56,24,29,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.3130168396234512,0.876,0.6517888,0.35545705556869506,0.8488,0.53168356,relu,sigmoid,65,0.175,115,normal,40,24,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.35610094249248503,0.8656,0.57389796,0.3833457326889038,0.8448,0.47645164,relu,sigmoid,75,0.35,100,normal,52,27,32,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3022970504164696,0.8728,0.625366,0.3585078740119934,0.8456,0.53160936,relu,sigmoid,85,0.0,110,normal,80,27,32,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3063891952037811,0.87333333,0.6241834,0.3540707316398621,0.8456,0.5281959,relu,sigmoid,60,0.35,100,normal,80,24,29,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.29950452133019767,0.87733334,0.63188386,0.35891558474302293,0.8496,0.5121757,relu,sigmoid,35,0.0,110,normal,56,21,29,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3042063673337301,0.8776,0.6381572,0.3600640082359314,0.8512,0.55768317,relu,sigmoid,50,0.0,110,normal,80,15,26,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.3808262763023377,0.8488,0.5084044,0.39053409337997436,0.8392,0.43861693,relu,sigmoid,80,0.35,110,normal,60,21,32,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.31746497497955956,0.8738667,0.6242112,0.36063722026348116,0.8448,0.5076618,relu,sigmoid,35,0.35,100,normal,48,21,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3158372768561045,0.87493336,0.6275109,0.36200043189525605,0.8472,0.55887455,relu,sigmoid,70,0.175,100,normal,72,21,26,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
