round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,losses,lr,optimizer,use_bias
120,0.5835447053909302,0.8199999928474426,0.5501662492752075,0.17271081747611364,0.9298667,0.798096,relu,sigmoid,40,0.15,120,normal,72,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.46485007095336917,0.8335999846458435,0.5420814156532288,0.22468932819366455,0.9048,0.72550696,relu,sigmoid,60,0.3,120,normal,72,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.4348486008644104,0.8352000117301941,0.48239943385124207,0.2374883791208267,0.9005333,0.7128863,relu,sigmoid,60,0.15,100,normal,76,35,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.4271846491098404,0.8199999928474426,0.5336707234382629,0.2545740101734797,0.896,0.6792424,relu,sigmoid,50,0.1,115,normal,72,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
130,0.368888612985611,0.8456000089645386,0.5314491391181946,0.3104237883090973,0.8810667,0.6395904,relu,sigmoid,60,0.25,130,normal,72,10,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
110,0.4192365193367004,0.8271999955177307,0.5177584886550903,0.2535517515540123,0.89786667,0.70583457,relu,sigmoid,60,0.3,110,normal,68,50,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
120,0.44807074308395384,0.8320000171661377,0.5017256140708923,0.24248900443315505,0.90133333,0.7116081,relu,sigmoid,50,0.2,120,normal,76,55,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.4082481197118759,0.8352000117301941,0.5106900930404663,0.2677742496927579,0.89626664,0.697099,relu,sigmoid,55,0.2,115,normal,72,25,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
120,0.5757264238595963,0.8184000253677368,0.5056541562080383,0.18720410188039144,0.9272,0.79384273,relu,sigmoid,50,0.15,120,normal,76,30,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.38357438910007474,0.8375999927520752,0.522304117679596,0.27264460732539497,0.8856,0.65083677,relu,sigmoid,55,0.1,120,normal,68,55,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
120,0.4048123876452446,0.8312000036239624,0.5018781423568726,0.26636848121881485,0.8901333,0.670007,relu,sigmoid,45,0.3,120,normal,60,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.49841268140077594,0.8312000036239624,0.49099135398864746,0.21364452135562897,0.9128,0.75560194,relu,sigmoid,55,0.1,125,normal,76,55,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
120,0.3778628635406494,0.8392000198364258,0.5120143890380859,0.29606002378463747,0.88053334,0.64418674,relu,sigmoid,60,0.3,120,normal,68,25,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.45044138580560683,0.8167999982833862,0.4770202338695526,0.23959083772699039,0.90213335,0.71030354,relu,sigmoid,55,0.1,105,normal,72,55,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
130,0.5935599523186683,0.8384000062942505,0.5387850999832153,0.16731179213523864,0.93333334,0.8160043,relu,sigmoid,45,0.15,130,normal,68,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
