round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
124,0.298198456287384,0.8901333,0.6653055,0.39422112044692037,0.8408,0.5668328,relu,sigmoid,65,0.45,124,normal,55,33,20,24,binary_crossentropy,0.325,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.3747452460130056,0.84853333,0.4595062,0.42928361082077027,0.8176,0.45471886,relu,sigmoid,40,0.0,100,normal,39,27,23,15,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.25944274592399597,0.89706665,0.6991773,0.4023230162858963,0.8392,0.56915903,relu,sigmoid,60,0.0,100,normal,43,33,29,24,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.30076674580574037,0.88,0.6350892,0.3759492820501327,0.8496,0.5925313,relu,sigmoid,75,0.45,100,normal,51,27,29,18,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.3139713015556335,0.88133335,0.6319165,0.37896930408477786,0.8464,0.58272505,relu,sigmoid,60,0.3,130,normal,51,33,32,15,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.31502340173721316,0.87866664,0.6254379,0.3769593198299408,0.8448,0.5722182,relu,sigmoid,55,0.45,106,normal,55,30,23,21,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
136,0.2796747804284096,0.8941333,0.68633807,0.39365716952085494,0.8456,0.54898816,relu,sigmoid,65,0.3,136,normal,67,18,23,24,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.25316663983464244,0.89813334,0.70130825,0.43153605961799624,0.8336,0.5466665,relu,sigmoid,45,0.0,112,normal,51,27,29,27,binary_crossentropy,0.325,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.30820584016044933,0.87813336,0.6031315,0.378640555024147,0.8448,0.54717445,relu,sigmoid,35,0.0,106,normal,55,30,26,15,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.3189932240645091,0.87733334,0.6312679,0.37678621244430544,0.8472,0.5691482,relu,sigmoid,70,0.45,106,normal,59,18,20,27,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.29456595265865326,0.88373333,0.6462551,0.3790132082104683,0.8456,0.57599926,relu,sigmoid,45,0.0,106,normal,55,21,20,27,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
130,0.30914636224508285,0.87813336,0.62307286,0.3756854772567749,0.8464,0.5621162,relu,sigmoid,75,0.15,130,normal,51,33,32,18,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.31288479946057,0.88053334,0.6223695,0.37325823813676834,0.8456,0.552157,relu,sigmoid,65,0.45,124,normal,55,21,26,27,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.30301927536726,0.8872,0.6529253,0.3766769057512283,0.84,0.57450116,relu,sigmoid,75,0.3,118,normal,35,21,29,18,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.287090518673261,0.8832,0.6372554,0.3770536178350449,0.8456,0.6026672,relu,sigmoid,65,0.0,124,normal,51,21,32,24,binary_crossentropy,0.325,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
