round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
130,0.2656100854873657,0.9,0.7016705,0.4231742179393768,0.8312,0.5336544,relu,sigmoid,60,0.25,130,normal,34,27,26,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
112,0.20873828712105752,0.91546667,0.75228566,0.4723435087800026,0.8176,0.4929553,relu,sigmoid,45,0.25,112,normal,58,36,29,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
136,0.29259543601671856,0.8842667,0.6415631,0.39635203218460086,0.8392,0.54010314,relu,sigmoid,40,0.0,136,normal,50,24,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
130,0.2820068666537603,0.88586664,0.6411876,0.41444600600004194,0.828,0.5202154,relu,sigmoid,55,0.125,130,normal,46,15,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.29069626426696776,0.88666666,0.65027225,0.39515129137039184,0.836,0.5302011,relu,sigmoid,60,0.0,124,normal,30,18,35,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.19170402055978775,0.92506665,0.7622027,0.5232342466115951,0.8096,0.5055733,relu,sigmoid,30,0.0,106,normal,66,33,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.2860318072636922,0.88666666,0.65117216,0.4141479551792145,0.8256,0.46306106,relu,sigmoid,50,0.375,112,normal,30,33,35,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
130,0.14545145234713952,0.9392,0.82007253,0.8415831706523895,0.804,0.52229506,relu,sigmoid,35,0.375,130,normal,74,39,26,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
142,0.26689741176366805,0.90026665,0.6867099,0.4542667087316513,0.8288,0.47298005,relu,sigmoid,30,0.375,142,normal,34,39,32,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
130,0.28910417342185973,0.8848,0.63467264,0.3913418129682541,0.8328,0.500382,relu,sigmoid,30,0.125,130,normal,50,39,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.26253599488735196,0.9058667,0.69651747,0.4429127053022385,0.8256,0.4861505,relu,sigmoid,30,0.25,118,normal,46,30,32,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
142,0.1672568123539289,0.9317333,0.80553263,0.5739516243934631,0.8064,0.47574478,relu,sigmoid,40,0.375,142,normal,74,30,38,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.2918912347157796,0.88986665,0.6651845,0.38655787873268127,0.8384,0.5488825,relu,sigmoid,55,0.25,100,normal,58,24,20,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.1866588060023884,0.9248,0.76446456,0.5909880155920982,0.8096,0.49351147,relu,sigmoid,35,0.125,112,normal,74,24,38,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
