round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
112,0.2948928417960803,0.8792,0.6420631,0.3563556694984436,0.8504,0.5621069,relu,sigmoid,55,0.125,112,normal,56,32,29,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.3909529438018799,0.8432,0.4912312,0.4159597821831703,0.8248,0.36325583,relu,sigmoid,45,0.25,124,normal,35,20,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
108,0.31138463270664213,0.8744,0.62201357,0.3529108222723007,0.86,0.5531873,relu,sigmoid,40,0.125,108,normal,41,26,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
108,0.3374464797973633,0.8693333,0.6003069,0.3626015841960907,0.8504,0.506305,relu,sigmoid,50,0.375,108,normal,38,23,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
120,0.3150599647214015,0.87493336,0.6304135,0.3519122893214226,0.8568,0.5545337,relu,sigmoid,35,0.375,120,normal,50,23,26,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.32173038947582244,0.8664,0.5944846,0.36966174256801604,0.8536,0.5573095,relu,sigmoid,35,0.25,112,normal,47,23,20,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.30384511476755144,0.8818667,0.6563748,0.36180783313512804,0.852,0.56596917,relu,sigmoid,45,0.375,112,normal,50,32,23,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3875570548772812,0.85253334,0.5201114,0.3978605134487152,0.8368,0.41343835,relu,sigmoid,45,0.5,100,normal,41,29,20,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
104,0.30296123078465464,0.8717333,0.60809684,0.35396001249551773,0.8528,0.51476955,relu,sigmoid,45,0.0,104,normal,38,23,26,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
116,0.31296925675868986,0.8704,0.61735797,0.3599859117269516,0.8504,0.5180083,relu,sigmoid,45,0.25,116,normal,47,32,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
