round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
106,1.080187691450119,0.8176000118255615,0.49630987644195557,0.08268475993194928,0.9632,0.8930007,relu,sigmoid,35,0.0,106,normal,74,38,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
136,0.32460289043188095,0.8744000196456909,0.5739337205886841,0.3285089793801308,0.86266667,0.5725716,elu,sigmoid,55,0.4,136,uniform,83,20,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
106,0.37300407195091245,0.8655999898910522,0.5763485431671143,0.27578446292877196,0.88533336,0.6736723,relu,sigmoid,40,0.0,106,uniform,56,38,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
106,0.34702780055999755,0.8583999872207642,0.5552327036857605,0.3053434491157532,0.8768,0.6346006,relu,sigmoid,40,0.4,106,uniform,38,20,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
118,0.3298146407604218,0.8679999709129333,0.579831600189209,0.3127288902203242,0.86586666,0.60270405,elu,sigmoid,40,0.08,118,uniform,83,20,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
142,0.45746622323989866,0.8424000144004822,0.5494386553764343,0.22544210827350616,0.91066664,0.7527093,relu,sigmoid,40,0.16,142,uniform,83,20,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
100,0.325591629743576,0.8727999925613403,0.5990036725997925,0.33024804878234865,0.8608,0.59544057,elu,sigmoid,60,0.4,100,normal,74,38,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
136,0.32174194490909575,0.8744000196456909,0.5902438163757324,0.32603419985373816,0.8642667,0.6001659,elu,sigmoid,65,0.32,136,uniform,38,56,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
106,0.3215292233228684,0.8759999871253967,0.5697065591812134,0.32476587494214376,0.86266667,0.5881207,elu,sigmoid,50,0.24,106,uniform,38,56,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
118,0.3259446867108345,0.8751999735832214,0.6055092215538025,0.32038635766506196,0.86506665,0.60812825,elu,sigmoid,65,0.24,118,uniform,47,29,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
130,0.37204721343517305,0.8496000170707703,0.5538367629051208,0.2788023962577184,0.8842667,0.6639675,elu,sigmoid,55,0.08,130,uniform,92,38,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
124,0.38839085602760315,0.8560000061988831,0.5533065795898438,0.258096205830574,0.9056,0.739247,relu,sigmoid,60,0.4,124,uniform,74,56,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.32109677863121033,0.8744000196456909,0.5939438343048096,0.3333942229747772,0.8634667,0.60499036,elu,sigmoid,60,0.4,112,normal,20,56,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.3238177931308746,0.8672000169754028,0.5629375576972961,0.3248969846963882,0.864,0.59159523,elu,sigmoid,50,0.24,100,uniform,65,29,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
124,0.3295457486510277,0.8687999844551086,0.5726420879364014,0.31711934121449786,0.87226665,0.6293458,elu,sigmoid,55,0.24,124,normal,83,56,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
136,0.33215089499950406,0.8727999925613403,0.5831471681594849,0.31173134940862657,0.8728,0.5984007,elu,sigmoid,30,0.16,136,uniform,65,20,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
142,0.3248562638759613,0.871999979019165,0.5978971123695374,0.3123821893731753,0.8704,0.62904704,elu,sigmoid,65,0.16,142,normal,20,29,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
106,0.5616183347702026,0.8343999981880188,0.5301480293273926,0.20942920595407485,0.91386664,0.76659054,relu,sigmoid,60,0.24,106,normal,38,29,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.3336850780248642,0.864799976348877,0.5694915652275085,0.31901010912656785,0.8666667,0.60208744,elu,sigmoid,30,0.08,100,uniform,92,47,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
112,0.39575329607725146,0.8399999737739563,0.5566649436950684,0.27222797817985217,0.8976,0.7051449,relu,sigmoid,35,0.24,112,normal,74,20,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
